ID,Airline Name,Type Of Traveller,Seat Type,Date Flown,Month Flown,Departure city,Arrival city
0,AB Aviation,Solo Leisure,Economy Class,11/1/2019,November,Moroni,Moheli
1,AB Aviation,Solo Leisure,Economy Class,6/1/2019,June,Moroni,Anjouan
2,AB Aviation,Solo Leisure,Economy Class,6/1/2019,June,Anjouan,Dzaoudzi
3,Adria Airways,Solo Leisure,Economy Class,9/1/2019,September,Frankfurt,Pristina
4,Adria Airways,Couple Leisure,Economy Class,9/1/2019,September,Sofia,Amsterdam
5,Adria Airways,Couple Leisure,Economy Class,9/1/2019,September,Sarajevo,Ljubljana
6,Adria Airways,Business,Economy Class,9/1/2019,September,Ljubljana,Zürich
7,Adria Airways,Solo Leisure,Economy Class,8/1/2019,August,Timisoara,Munich
8,Adria Airways,Solo Leisure,Economy Class,8/1/2019,August,Pristina,Zürich
9,Adria Airways,Family Leisure,Economy Class,10/1/2018,October,Ljubljana,Munich
10,Adria Airways,Business,Economy Class,10/1/2018,October,Zurich,Ljubljana
11,Adria Airways,Family Leisure,Economy Class,7/1/2018,July,Vienna,Sofia
12,Adria Airways,Solo Leisure,Economy Class,5/1/2018,May,Paris,Skopje
13,Adria Airways,Business,Economy Class,6/1/2018,June,Ljubljana,Munich
14,Adria Airways,Couple Leisure,Economy Class,6/1/2018,June,Ljubljana,Prague
15,Adria Airways,Business,Economy Class,4/1/2018,April,Frankfurt,Ljubljana
16,Adria Airways,Solo Leisure,Economy Class,3/1/2018,March,Ljubljana,Frankfurt
17,Adria Airways,Solo Leisure,Economy Class,9/1/2017,September,Ljubljana,Vienna
18,Adria Airways,Business,Economy Class,11/1/2017,November,Ljubljana,Sarajevo
19,Adria Airways,Couple Leisure,Economy Class,10/1/2017,October,Zurich,Ljubjana
20,Adria Airways,Family Leisure,Economy Class,6/1/2017,June,Ljubljana,Munich 
21,Adria Airways,Business,Economy Class,4/1/2017,April,Ljubljana,Zurich
22,Adria Airways,Solo Leisure,Business Class,12/1/2016,December,LJU,VIE
23,Adria Airways,Business,Economy Class,10/1/2016,October,LJU,VIE
24,Adria Airways,Solo Leisure,Business Class,11/1/2016,November,LJU,CPH
